iter	MultiClass
151	0.3443114606
152	0.3438341501
153	0.342702217
154	0.3418005306
155	0.3410352803
156	0.3405834993
157	0.3400806521
158	0.3392637887
159	0.3387180112
160	0.3377524282
161	0.3365312301
162	0.3363365788
163	0.3355030155
164	0.3349800266
165	0.334534652
166	0.3341909605
167	0.3339716913
168	0.3334559722
169	0.3322927744
170	0.3320707869
171	0.3308814188
172	0.330133175
173	0.3296463455
174	0.3291794996
175	0.3284576228
176	0.3279553732
177	0.3273071215
178	0.326925467
179	0.3262912737
180	0.3258185679
181	0.3257277652
182	0.3255257028
183	0.3250149765
184	0.3240630371
185	0.3239943205
186	0.3235554509
187	0.3230551324
188	0.3221228497
189	0.3217234103
190	0.3207898913
191	0.3204812831
192	0.3197168645
193	0.3188498396
194	0.3186297202
195	0.3183940718
196	0.3182712726
197	0.3174354623
198	0.3173329024
199	0.3163375458
200	0.3155313129
201	0.3148012979
202	0.3143511443
203	0.3136516002
204	0.3134485812
205	0.3132415089
206	0.3119721363
207	0.3114277122
208	0.3105991573
209	0.3101915282
210	0.3100787393
211	0.3097235596
212	0.3092209866
213	0.3086736737
214	0.3078330068
215	0.3071698558
216	0.3066090354
217	0.3061381682
218	0.3057509235
219	0.3053494403
220	0.3045337664
221	0.3038382981
222	0.3036786047
223	0.3028754632
224	0.3022127286
225	0.3017356726
226	0.3010519448
227	0.3007715913
228	0.300118315
229	0.2995878846
230	0.2988686465
231	0.2983632913
232	0.2982593271
233	0.297749335
234	0.2972588107
235	0.2967956455
236	0.2963556866
237	0.2962060483
238	0.2958292119
239	0.2950834291
240	0.2946790639
241	0.2944540005
242	0.2940148356
243	0.2931230843
244	0.2927088047
245	0.2925406296
246	0.2920956821
247	0.247	0.2953924248	248	0.2949824249	249	0.294862250	0250	0.294780251	0251	0.294291252	0.2915515248
253	0.2913972441
254	0.290839139
255	0.2903097065
256	0.2900566239
257	0.2897140757
258	0.2892527658
259	0.2883525477
260	0.2877504415
261	0.2875538011
262	0.2869042331
263	0.2868694415
264	0.2866206628
265	0.2858225018
266	0.285411505
267	0.2850393324
268	0.2843926492
269	0.2841564939
270	0.2837852741
271	0.283109895
272	0.282931706
273	0.282480043
274	0.2818153586
275	0.2814756017
276	0.2808246804
277	0.2805914132
278	0.2801823144
279	0.280090747
280	0.2800165325
281	0.279508274
282	0.2791682716
283	0.279106894
284	0.2785680351
285	0.2779928631
286	0.2776789735
287	0.2773937287
288	0.2770786726
289	0.276975541
290	0.2766654208
291	0.2761649001
292	0.2755566624
293	0.2754175196
294	0.2753625073
295	0.2750756424
296	0.2745668917
297	0.2741906857
298	0.2740586783
299	0.2739442649
300	0.2737032328
301	0.273415834
302	0.2727145304
303	0.2721299461
304	0.2719364431
305	0.2718073876
306	0.2714982075
307	0.2711152021
308	0.2707727796
309	0.2703466419
310	0.2700627999
311	0.2699420754
312	0.2698295882
313	0.2695769302
314	0.2690390068
315	0.268832039
316	0.2684124457
317	0.2679572797
318	0.2679138188
319	0.2678098236
320	0.2677961047
321	0.2677316741
322	0.2676545483
323	0.2673366366
324	0324	0.269352325	0325	0.2689317814
326	0.2688691431
327	0.2687049377
328	0.268605447
329	0.2682033769
330	0.2679065604
331	0.2677280021
332	0.2676802541
333	0.2673750664
334	0.2672228524
335	0.2669777706
336	0.2664728962
337	0.2664039338	338	0.2662233339	339	0.2661655340	340	0.2659738341	341	0.2656492342	342	0.2653113343	343	0.2650746344	344	0.2646634345	345	0.2644934346	346	0.263977347	347	0.2635981348	348	0.2634921004
349	0.2631104125
350	0.2630300727
351	0.2626491039
352	0.2625665172
353	0.2624890606
354	0.262459355	0355	0.262414356	0356	0.262108357	0357	0.26173358	0.358	0.26129359	0.359	0.2612360	0.2360	0.2608695551
361	0.2608362	0.2362	0.2607363	0.2363	0.2605102038
364	0.2603601394
365	0.260080017
366	0.2599783849
367	0.2599321979
368	0.2597507275
369	0.2596104313
370	0.2593665484
371	0.2593250322
372	0.2592269014
373	0.2591374	0.2374	0.259375	0.2375	0.2587376	0.2376	0.2585873705
377	0.2585378	0.2378	0.258379	0.25379	0.258380	0.25380	0.257381	0.2541514499
382	0.25382	0.257383	0.25383	0.257384	0.25384	0.257385	0.25385	0.256386	0.25386	0.256387	0.25387	0.25388	0.2527178236
389	0.2523411972
390	0.2522726674
391	0.2521075322
392	0.251854941
393	0.251750419
394	0.2511315559
395	0.2510014138
396	0.2507184141
397	0.2506668199
398	0.2503523408
399	0.250108811
9963703
