window_start,anchor_id,packet_count,packet_loss_rate,scan_duration_ms,rssi_mean,rssi_median,rssi_min,rssi_max,rssi_std,rssi_variance,rssi_range,rssi_p05,rssi_p10,rssi_p25,rssi_p75,rssi_p90,rssi_p95,rssi_iqr,rssi_p90_10_range,rssi_mad,rssi_snr,rssi_skewness,rssi_kurtosis,rssi_delta_mean,rssi_delta_std,rssi_delta_max,observed_adv_interval,adv_interval_std,path_loss_free_space,path_loss_indoor,rssi_mean_to_std_ratio,rssi_median_mean_diff,rssi_slope,rssi_trend_strength,rssi_ema_diff,rssi_first_half_mean,rssi_second_half_mean,rssi_half_diff,rssi_autocorrelation,rssi_energy,rssi_bin_neg100_90,rssi_bin_neg90_80,rssi_bin_neg80_70,rssi_bin_neg70_60,rssi_bin_neg60_50,rssi_bin_neg50_30,rssi_mean_delta,rssi_mean_slope_3w,rssi_mean_slope_5w,rssi_rolling_mean_3w,rssi_rolling_std_3w,rssi_rolling_mean_5w,rssi_rolling_std_5w,rssi_ema_cross_window,rssi_velocity,rssi_acceleration,signal_stability_index,rssi_rolling_mean_10w,rssi_rolling_std_10w,rssi_motion_direction,rssi_snr_rolling_5w,distance_m,height_m,obstacle,obstacle_type,motion,session_id
897,ANCHOR_01,2,0.96,990.0,-87.0,-87.0,-87.0,-87.0,0.0,0.0,0.0,-87.0,-87.0,-87.0,-87.0,-87.0,-87.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,990.0,0.0,22.3872,7.9433,-87.0,0.0,0.0,0.0,0.0,-87.0,-87.0,0.0,0.0,7569.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,-87.0,0.0,-87.0,0.0,0.0,1.0,-87.0,0.0,0.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
2897,ANCHOR_01,1,0.98,0.0,-77.0,-77.0,-77.0,-77.0,0.0,0.0,0.0,-77.0,-77.0,-77.0,-77.0,-77.0,-77.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0795,3.6869,-77.0,0.0,0.0,0.0,0.0,-77.0,-77.0,0.0,0.0,5929.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,-82.0,7.0711,-82.0,7.0711,-84.0,5.0,5.0,0.5,-82.0,7.0711,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
3897,ANCHOR_01,2,0.96,990.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,990.0,0.0,6.3096,3.4145,-76.0,0.0,0.0,0.0,0.0,-76.0,-76.0,0.0,0.0,5776.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.5,5.5,-80.0,6.0828,-80.0,6.0828,-81.6,1.0,-4.0,0.6667,-80.0,6.0828,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
5897,ANCHOR_01,2,0.96,980.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,-89.0,-89.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,980.0,0.0,25.0,9.2612,-89.0,0.0,0.0,0.0,0.0,-89.0,-89.0,0.0,0.0,7921.0,0.0,1.0,0.0,0.0,0.0,0.0,-13.0,-6.0,-0.5,-80.6667,7.2342,-82.25,6.702,-83.82,-6.5,-7.5,0.5,-82.25,6.702,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
7897,ANCHOR_01,1,0.98,0.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,-89.0,-89.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.2612,-89.0,0.0,0.0,0.0,0.0,-89.0,-89.0,0.0,0.0,7921.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.5,-1.6,-84.6667,7.5056,-83.6,6.5422,-85.374,0.0,6.5,0.6,-83.6,6.5422,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
8897,ANCHOR_01,1,0.98,0.0,-91.0,-91.0,-91.0,-91.0,0.0,0.0,0.0,-91.0,-91.0,-91.0,-91.0,-91.0,-91.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.7978,-91.0,0.0,0.0,0.0,0.0,-91.0,-91.0,0.0,0.0,8281.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-4.1,-89.6667,1.1547,-84.4,7.2664,-87.0618,-2.0,-2.0,0.4,-84.8333,6.5853,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
9897,ANCHOR_01,1,0.98,0.0,-80.0,-80.0,-80.0,-80.0,0.0,0.0,0.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.6416,-80.0,0.0,0.0,0.0,0.0,-80.0,-80.0,0.0,0.0,6400.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,4.5,-1.0,-86.6667,5.8595,-85.0,6.5955,-84.9433,11.0,13.0,0.4,-84.1429,6.283,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
10897,ANCHOR_01,1,0.98,0.0,-79.0,-79.0,-79.0,-79.0,0.0,0.0,0.0,-79.0,-79.0,-79.0,-79.0,-79.0,-79.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9125,4.2987,-79.0,0.0,0.0,0.0,0.0,-79.0,-79.0,0.0,0.0,6241.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,2.9,-83.3333,6.6583,-85.6,5.6391,-83.1603,1.0,-10.0,0.4,-83.5,6.0945,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
11897,ANCHOR_01,1,0.98,0.0,-95.0,-95.0,-95.0,-95.0,0.0,0.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.678,-95.0,0.0,0.0,0.0,0.0,-95.0,-95.0,0.0,0.0,9025.0,1.0,0.0,0.0,0.0,0.0,0.0,-16.0,-7.5,0.0,-84.6667,8.9629,-86.8,7.0143,-86.7122,-16.0,-17.0,0.4,-84.7778,6.8698,0.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
12897,ANCHOR_01,1,0.98,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,19.9526,-99.0,0.0,0.0,0.0,0.0,-99.0,-99.0,0.0,0.0,9801.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-10.0,-3.1,-91.0,10.583,-88.8,8.9554,-90.3985,-4.0,12.0,0.2,-86.2,7.8853,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
13897,ANCHOR_01,1,0.98,0.0,-94.0,-94.0,-94.0,-94.0,0.0,0.0,0.0,-94.0,-94.0,-94.0,-94.0,-94.0,-94.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,13.5936,-94.0,0.0,0.0,0.0,0.0,-94.0,-94.0,0.0,0.0,8836.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,-4.8,-96.0,2.6458,-89.4,9.2358,-91.479,5.0,9.0,0.2,-86.9,8.2657,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
15897,ANCHOR_01,1,0.98,0.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3096,3.4145,-76.0,0.0,0.0,0.0,0.0,-76.0,-76.0,0.0,0.0,5776.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,11.5,0.7,-89.6667,12.0968,-88.6,10.3586,-86.8353,9.0,4.0,0.2,-86.8,8.4037,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
16897,ANCHOR_01,1,0.98,0.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3096,3.4145,-76.0,0.0,0.0,0.0,0.0,-76.0,-76.0,0.0,0.0,5776.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,6.1,-82.0,10.3923,-88.0,11.1131,-83.5847,0.0,-9.0,0.2,-86.8,8.4037,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
17897,ANCHOR_01,1,0.98,0.0,-91.0,-91.0,-91.0,-91.0,0.0,0.0,0.0,-91.0,-91.0,-91.0,-91.0,-91.0,-91.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.7978,-91.0,0.0,0.0,0.0,0.0,-91.0,-91.0,0.0,0.0,8281.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,-7.5,3.4,-81.0,8.6603,-87.2,10.616,-85.8093,-15.0,-15.0,0.2,-87.0,8.4853,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
18897,ANCHOR_01,1,0.98,0.0,-92.0,-92.0,-92.0,-92.0,0.0,0.0,0.0,-92.0,-92.0,-92.0,-92.0,-92.0,-92.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.6591,-92.0,0.0,0.0,0.0,0.0,-92.0,-92.0,0.0,0.0,8464.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-8.0,-1.1,-86.3333,8.9629,-85.8,9.0111,-87.6665,-1.0,14.0,0.4,-87.3,8.6159,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
19897,ANCHOR_01,1,0.98,0.0,-85.0,-85.0,-85.0,-85.0,0.0,0.0,0.0,-85.0,-85.0,-85.0,-85.0,-85.0,-85.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7828,6.8129,-85.0,0.0,0.0,0.0,0.0,-85.0,-85.0,0.0,0.0,7225.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,-3.4,-89.3333,3.7859,-84.0,7.7782,-86.8666,7.0,8.0,0.4,-86.7,8.5381,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
20897,ANCHOR_01,1,0.98,0.0,-86.0,-86.0,-86.0,-86.0,0.0,0.0,0.0,-86.0,-86.0,-86.0,-86.0,-86.0,-86.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9526,7.3564,-86.0,0.0,0.0,0.0,0.0,-86.0,-86.0,0.0,0.0,7396.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,3.0,-1.4,-87.6667,3.7859,-86.0,6.364,-86.6066,-1.0,-8.0,0.6,-87.3,8.2199,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
21897,ANCHOR_01,1,0.98,0.0,-78.0,-78.0,-78.0,-78.0,0.0,0.0,0.0,-78.0,-78.0,-78.0,-78.0,-78.0,-78.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9433,3.9811,-78.0,0.0,0.0,0.0,0.0,-78.0,-78.0,0.0,0.0,6084.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.5,3.2,-83.0,4.3589,-86.4,5.5946,-84.0246,8.0,9.0,0.4,-87.2,8.3373,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
22897,ANCHOR_01,1,0.98,0.0,-79.0,-79.0,-79.0,-79.0,0.0,0.0,0.0,-79.0,-79.0,-79.0,-79.0,-79.0,-79.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9125,4.2987,-79.0,0.0,0.0,0.0,0.0,-79.0,-79.0,0.0,0.0,6241.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3.5,3.3,-81.0,4.3589,-84.0,5.7009,-82.5172,-1.0,-9.0,0.6,-85.6,8.2084,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
23897,ANCHOR_01,1,0.98,0.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,-89.0,-89.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.2612,-89.0,0.0,0.0,0.0,0.0,-89.0,-89.0,0.0,0.0,7921.0,0.0,1.0,0.0,0.0,0.0,0.0,-10.0,-5.5,-0.1,-82.0,6.0828,-83.4,4.7223,-84.4621,-10.0,-9.0,0.4,-84.6,6.8993,0.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
24897,ANCHOR_01,1,0.98,0.0,-90.0,-90.0,-90.0,-90.0,0.0,0.0,0.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,-90.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,0.0,8100.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-5.5,-1.9,-86.0,6.0828,-84.4,5.5946,-86.1234,-1.0,9.0,0.6,-84.2,6.391,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
25897,ANCHOR_01,1,0.98,0.0,-88.0,-88.0,-88.0,-88.0,0.0,0.0,0.0,-88.0,-88.0,-88.0,-88.0,-88.0,-88.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.577,-88.0,0.0,0.0,0.0,0.0,-88.0,-88.0,0.0,0.0,7744.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.5,-3.1,-89.0,1.0,-84.8,5.8052,-86.6864,2.0,3.0,0.4,-85.4,5.7774,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
26897,ANCHOR_01,1,0.98,0.0,-90.0,-90.0,-90.0,-90.0,0.0,0.0,0.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,-90.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,0.0,8100.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.1,-89.3333,1.1547,-87.2,4.6583,-87.6805,-2.0,-4.0,0.4,-86.8,4.8717,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
27897,ANCHOR_01,1,0.98,0.0,-77.0,-77.0,-77.0,-77.0,0.0,0.0,0.0,-77.0,-77.0,-77.0,-77.0,-77.0,-77.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0795,3.6869,-77.0,0.0,0.0,0.0,0.0,-77.0,-77.0,0.0,0.0,5929.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,5.5,2.4,-85.0,7.0,-86.8,5.5408,-84.4763,13.0,15.0,0.2,-85.4,5.5015,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
28897,ANCHOR_01,1,0.98,0.0,-91.0,-91.0,-91.0,-91.0,0.0,0.0,0.0,-91.0,-91.0,-91.0,-91.0,-91.0,-91.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.7978,-91.0,0.0,0.0,0.0,0.0,-91.0,-91.0,0.0,0.0,8281.0,1.0,0.0,0.0,0.0,0.0,0.0,-14.0,-0.5,0.9,-86.0,7.8102,-87.2,5.8052,-86.4334,-14.0,-27.0,0.2,-85.3,5.3759,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
29897,ANCHOR_01,1,0.98,0.0,-94.0,-94.0,-94.0,-94.0,0.0,0.0,0.0,-94.0,-94.0,-94.0,-94.0,-94.0,-94.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,13.5936,-94.0,0.0,0.0,0.0,0.0,-94.0,-94.0,0.0,0.0,8836.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,-8.5,-1.3,-87.3333,9.0738,-88.0,6.5192,-88.7034,-3.0,11.0,0.0,-86.2,6.0332,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
30897,ANCHOR_01,1,0.98,0.0,-90.0,-90.0,-90.0,-90.0,0.0,0.0,0.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,-90.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,0.0,8100.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.5,-1.7,-91.6667,2.0817,-88.4,6.5803,-89.0924,4.0,7.0,0.0,-86.6,6.15,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
31897,ANCHOR_01,1,0.98,0.0,-90.0,-90.0,-90.0,-90.0,0.0,0.0,0.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,-90.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,0.0,8100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.5,-91.3333,2.3094,-88.4,6.5803,-89.3647,0.0,-4.0,0.2,-87.8,5.4119,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
32897,ANCHOR_01,1,0.98,0.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3096,3.4145,-76.0,0.0,0.0,0.0,0.0,-76.0,-76.0,0.0,0.0,5776.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,7.0,3.4,-85.3333,8.0829,-88.2,7.0143,-85.3553,14.0,14.0,0.2,-87.5,6.0046,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
33897,ANCHOR_01,1,0.98,0.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3096,3.4145,-76.0,0.0,0.0,0.0,0.0,-76.0,-76.0,0.0,0.0,5776.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,-80.6667,8.0829,-85.2,8.5557,-82.5487,0.0,-14.0,0.4,-86.2,6.973,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
34897,ANCHOR_01,1,0.98,0.0,-94.0,-94.0,-94.0,-94.0,0.0,0.0,0.0,-94.0,-94.0,-94.0,-94.0,-94.0,-94.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,13.5936,-94.0,0.0,0.0,0.0,0.0,-94.0,-94.0,0.0,0.0,8836.0,1.0,0.0,0.0,0.0,0.0,0.0,-18.0,-9.0,0.6,-82.0,10.3923,-85.2,8.5557,-85.9841,-18.0,-18.0,0.4,-86.6,7.3212,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
36897,ANCHOR_01,1,0.98,0.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,-89.0,-89.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.2612,-89.0,0.0,0.0,0.0,0.0,-89.0,-89.0,0.0,0.0,7921.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,-6.5,-1.6,-86.3333,9.2916,-85.0,8.4261,-86.8889,2.5,20.5,0.4,-86.7,7.3492,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
38897,ANCHOR_01,1,0.98,0.0,-77.0,-77.0,-77.0,-77.0,0.0,0.0,0.0,-77.0,-77.0,-77.0,-77.0,-77.0,-77.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0795,3.6869,-77.0,0.0,0.0,0.0,0.0,-77.0,-77.0,0.0,0.0,5929.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,8.5,-1.5,-86.6667,8.7369,-82.4,8.5029,-83.9222,6.0,3.5,0.2,-85.4,7.8344,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
39897,ANCHOR_01,1,0.98,0.0,-77.0,-77.0,-77.0,-77.0,0.0,0.0,0.0,-77.0,-77.0,-77.0,-77.0,-77.0,-77.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0795,3.6869,-77.0,0.0,0.0,0.0,0.0,-77.0,-77.0,0.0,0.0,5929.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.5,-81.0,6.9282,-82.6,8.3247,-81.8455,0.0,-6.0,0.4,-85.4,7.8344,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
40897,ANCHOR_01,1,0.98,0.0,-91.0,-91.0,-91.0,-91.0,0.0,0.0,0.0,-91.0,-91.0,-91.0,-91.0,-91.0,-91.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.7978,-91.0,0.0,0.0,0.0,0.0,-91.0,-91.0,0.0,0.0,8281.0,1.0,0.0,0.0,0.0,0.0,0.0,-14.0,-7.0,1.8,-81.6667,8.0829,-85.6,8.0498,-84.5919,-14.0,-14.0,0.2,-85.4,7.8344,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
41897,ANCHOR_01,1,0.98,0.0,-92.0,-92.0,-92.0,-92.0,0.0,0.0,0.0,-92.0,-92.0,-92.0,-92.0,-92.0,-92.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.6591,-92.0,0.0,0.0,0.0,0.0,-92.0,-92.0,0.0,0.0,8464.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-7.5,-2.0,-86.6667,8.3865,-85.2,7.5631,-86.8143,-1.0,13.0,0.4,-85.2,7.6129,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
42897,ANCHOR_01,1,0.98,0.0,-91.0,-91.0,-91.0,-91.0,0.0,0.0,0.0,-91.0,-91.0,-91.0,-91.0,-91.0,-91.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.7978,-91.0,0.0,0.0,0.0,0.0,-91.0,-91.0,0.0,0.0,8281.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.3,-91.3333,0.5774,-85.6,7.8613,-88.07,1.0,2.0,0.6,-85.3,7.6891,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
44897,ANCHOR_01,1,0.98,0.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3096,3.4145,-76.0,0.0,0.0,0.0,0.0,-76.0,-76.0,0.0,0.0,5776.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,8.0,0.2,-86.3333,8.9629,-85.4,8.1425,-84.449,7.5,6.5,0.6,-83.9,8.0062,0.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
45897,ANCHOR_01,1,0.98,0.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3096,3.4145,-76.0,0.0,0.0,0.0,0.0,-76.0,-76.0,0.0,0.0,5776.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.5,4.6,-81.0,8.6603,-85.2,8.4083,-81.9143,0.0,-7.5,0.6,-83.9,8.0062,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
46897,ANCHOR_01,1,0.98,0.0,-96.0,-96.0,-96.0,-96.0,0.0,0.0,0.0,-96.0,-96.0,-96.0,-96.0,-96.0,-96.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.8489,-96.0,0.0,0.0,0.0,0.0,-96.0,-96.0,0.0,0.0,9216.0,1.0,0.0,0.0,0.0,0.0,0.0,-20.0,-10.0,0.7,-82.6667,11.547,-86.2,9.4974,-86.14,-20.0,-20.0,0.6,-85.9,8.306,1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
47897,ANCHOR_01,1,0.98,0.0,-97.0,-97.0,-97.0,-97.0,0.0,0.0,0.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.1133,-97.0,0.0,0.0,0.0,0.0,-97.0,-97.0,0.0,0.0,9409.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-10.5,-3.2,-89.6667,11.8462,-87.2,10.4738,-89.398,-1.0,19.0,0.6,-86.2,8.6769,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
48897,ANCHOR_01,1,0.98,0.0,-86.0,-86.0,-86.0,-86.0,0.0,0.0,0.0,-86.0,-86.0,-86.0,-86.0,-86.0,-86.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9526,7.3564,-86.0,0.0,0.0,0.0,0.0,-86.0,-86.0,0.0,0.0,7396.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,5.0,-4.1,-93.0,6.0828,-86.2,10.2567,-88.3786,11.0,12.0,0.4,-85.9,8.621,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
49897,ANCHOR_01,1,0.98,0.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,-89.0,-89.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.2612,-89.0,0.0,0.0,0.0,0.0,-89.0,-89.0,0.0,0.0,7921.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,4.0,-1.6,-90.6667,5.6862,-88.8,8.5264,-88.565,-3.0,-14.0,0.4,-87.1,8.0616,-1.0,100000.0,3.0,0.0,No,None,stationary,dataset_2026-07-31_014443.csv
