window_start,anchor_id,packet_count,packet_loss_rate,scan_duration_ms,rssi_mean,rssi_median,rssi_min,rssi_max,rssi_std,rssi_variance,rssi_range,rssi_p05,rssi_p10,rssi_p25,rssi_p75,rssi_p90,rssi_p95,rssi_iqr,rssi_p90_10_range,rssi_mad,rssi_snr,rssi_skewness,rssi_kurtosis,rssi_delta_mean,rssi_delta_std,rssi_delta_max,observed_adv_interval,adv_interval_std,path_loss_free_space,path_loss_indoor,rssi_mean_to_std_ratio,rssi_median_mean_diff,rssi_slope,rssi_trend_strength,rssi_ema_diff,rssi_first_half_mean,rssi_second_half_mean,rssi_half_diff,rssi_autocorrelation,rssi_energy,rssi_bin_neg100_90,rssi_bin_neg90_80,rssi_bin_neg80_70,rssi_bin_neg70_60,rssi_bin_neg60_50,rssi_bin_neg50_30,rssi_mean_delta,rssi_mean_slope_3w,rssi_mean_slope_5w,rssi_rolling_mean_3w,rssi_rolling_std_3w,rssi_rolling_mean_5w,rssi_rolling_std_5w,rssi_ema_cross_window,rssi_velocity,rssi_acceleration,signal_stability_index,rssi_rolling_mean_10w,rssi_rolling_std_10w,rssi_motion_direction,rssi_snr_rolling_5w,distance_m,height_m,obstacle,obstacle_type,motion,session_id
1225007,ANCHOR_01,1,0.98,0.0,-83.0,-83.0,-83.0,-83.0,0.0,0.0,0.0,-83.0,-83.0,-83.0,-83.0,-83.0,-83.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1254,5.8434,-83.0,0.0,0.0,0.0,0.0,-83.0,-83.0,0.0,0.0,6889.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.5,0.4,-85.0,1.7321,-85.2,1.3038,-84.9864,1.5,1.5,0.8,-85.9,1.912,1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1226007,ANCHOR_01,1,0.98,0.0,-84.0,-84.0,-84.0,-84.0,0.0,0.0,0.0,-84.0,-84.0,-84.0,-84.0,-84.0,-84.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8489,6.3096,-84.0,0.0,0.0,0.0,0.0,-84.0,-84.0,0.0,0.0,7056.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.7,-84.3333,1.5275,-85.0,1.4142,-84.6905,-1.0,-2.5,0.8,-85.6,1.9551,1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1227007,ANCHOR_01,1,0.98,0.0,-85.0,-85.0,-85.0,-85.0,0.0,0.0,0.0,-85.0,-85.0,-85.0,-85.0,-85.0,-85.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7828,6.8129,-85.0,0.0,0.0,0.0,0.0,-85.0,-85.0,0.0,0.0,7225.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.4,-84.0,1.0,-84.8,1.3038,-84.7833,-1.0,0.0,0.8,-85.1,1.1972,1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1228007,ANCHOR_01,1,0.98,0.0,-86.0,-86.0,-86.0,-86.0,0.0,0.0,0.0,-86.0,-86.0,-86.0,-86.0,-86.0,-86.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9526,7.3564,-86.0,0.0,0.0,0.0,0.0,-86.0,-86.0,0.0,0.0,7396.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.2,-85.0,1.0,-84.8,1.3038,-85.1483,-1.0,0.0,0.8,-85.0,1.0541,0.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1229007,ANCHOR_01,1,0.98,0.0,-86.0,-86.0,-86.0,-86.0,0.0,0.0,0.0,-86.0,-86.0,-86.0,-86.0,-86.0,-86.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9526,7.3564,-86.0,0.0,0.0,0.0,0.0,-86.0,-86.0,0.0,0.0,7396.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.8,-85.6667,0.5774,-84.8,1.3038,-85.4038,0.0,1.0,0.8,-85.1,1.1005,-1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1230007,ANCHOR_01,1,0.98,0.0,-87.0,-87.0,-87.0,-87.0,0.0,0.0,0.0,-87.0,-87.0,-87.0,-87.0,-87.0,-87.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3872,7.9433,-87.0,0.0,0.0,0.0,0.0,-87.0,-87.0,0.0,0.0,7569.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-0.7,-86.3333,0.5774,-85.6,1.1402,-85.8827,-1.0,-1.0,1.0,-85.4,1.1738,-1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1232007,ANCHOR_01,1,0.98,0.0,-82.0,-82.0,-82.0,-82.0,0.0,0.0,0.0,-82.0,-82.0,-82.0,-82.0,-82.0,-82.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5893,5.4117,-82.0,0.0,0.0,0.0,0.0,-82.0,-82.0,0.0,0.0,6724.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.5,-85.0,2.6458,-85.2,1.9235,-84.7179,2.5,3.5,0.8,-85.1,1.5951,1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1233007,ANCHOR_01,1,0.98,0.0,-85.0,-85.0,-85.0,-85.0,0.0,0.0,0.0,-85.0,-85.0,-85.0,-85.0,-85.0,-85.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7828,6.8129,-85.0,0.0,0.0,0.0,0.0,-85.0,-85.0,0.0,0.0,7225.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.6,-84.6667,2.5166,-85.2,1.9235,-84.8025,-3.0,-5.5,0.6,-85.0,1.5635,1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1234007,ANCHOR_01,1,0.98,0.0,-88.0,-88.0,-88.0,-88.0,0.0,0.0,0.0,-88.0,-88.0,-88.0,-88.0,-88.0,-88.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.577,-88.0,0.0,0.0,0.0,0.0,-88.0,-88.0,0.0,0.0,7744.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-0.2,-85.0,3.0,-85.6,2.3022,-85.7618,-3.0,0.0,0.4,-85.2,1.8135,0.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1236007,ANCHOR_01,1,0.98,0.0,-90.0,-90.0,-90.0,-90.0,0.0,0.0,0.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,-90.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,0.0,8100.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,-2.5,-1.2,-87.6667,2.5166,-86.4,3.0496,-87.0332,-1.0,2.0,0.2,-85.6,2.3664,-1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
