timestamp,anchor,mac,rssi,name,distance_m,obstacle,obstacle_type,height_m,motion
2281797,ANCHOR_01,52:06:26:03:01:DA,-69,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,3.36,Yes,laptop,0.96,stationary
2282817,ANCHOR_01,52:06:26:03:01:DA,-60,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,3.36,Yes,laptop,0.96,stationary
2283807,ANCHOR_01,52:06:26:03:01:DA,-67,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,3.36,Yes,laptop,0.96,stationary
2284827,ANCHOR_01,52:06:26:03:01:DA,-63,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,3.36,Yes,laptop,0.96,stationary
2285847,ANCHOR_01,52:06:26:03:01:DA,-76,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,3.36,Yes,laptop,0.96,stationary
2286837,ANCHOR_01,52:06:26:03:01:DA,-74,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,3.36,Yes,laptop,0.96,stationary
2288847,ANCHOR_01,52:06:26:03:01:DA,-60,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,3.36,Yes,laptop,0.96,stationary
2289837,ANCHOR_01,52:06:26:03:01:DA,-60,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,3.36,Yes,laptop,0.96,stationary
2290857,ANCHOR_01,52:06:26:03:01:DA,-61,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,3.36,Yes,laptop,0.96,stationary
2291847,ANCHOR_01,52:06:26:03:01:DA,-61,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,3.36,Yes,laptop,0.96,stationary
2292867,ANCHOR_01,52:06:26:03:01:DA,-77,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,3.36,Yes,laptop,0.96,stationary
2293857,ANCHOR_01,52:06:26:03:01:DA,-76,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,3.36,Yes,laptop,0.96,stationary
2294877,ANCHOR_01,52:06:26:03:01:DA,-59,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,3.36,Yes,laptop,0.96,stationary
