timestamp,anchor,mac,rssi,name,distance_m,obstacle,obstacle_type,height_m,motion
1485757,ANCHOR_01,52:06:26:03:01:DA,-66,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,5.29,Yes,laptop,0.0,moving_away
1486767,ANCHOR_01,52:06:26:03:01:DA,-69,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,5.29,Yes,laptop,0.0,moving_away
1487767,ANCHOR_01,52:06:26:03:01:DA,-67,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,5.29,Yes,laptop,0.0,moving_away
1489777,ANCHOR_01,52:06:26:03:01:DA,-76,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,5.29,Yes,laptop,0.0,moving_away
1490787,ANCHOR_01,52:06:26:03:01:DA,-68,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,5.29,Yes,laptop,0.0,moving_away
1491787,ANCHOR_01,52:06:26:03:01:DA,-74,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,5.29,Yes,laptop,0.0,moving_away
1492807,ANCHOR_01,52:06:26:03:01:DA,-81,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,5.29,Yes,laptop,0.0,moving_away
1493797,ANCHOR_01,52:06:26:03:01:DA,-88,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,5.29,Yes,laptop,0.0,moving_away
1494787,ANCHOR_01,52:06:26:03:01:DA,-87,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,5.29,Yes,laptop,0.0,moving_away
1495807,ANCHOR_01,52:06:26:03:01:DA,-92,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,5.29,Yes,laptop,0.0,moving_away
1496797,ANCHOR_01,52:06:26:03:01:DA,-94,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,5.29,Yes,laptop,0.0,moving_away
1497817,ANCHOR_01,52:06:26:03:01:DA,-86,MFG_4C000215FDA50693A4E24FB1AFCFC6EB0764782500010002D8,5.29,Yes,laptop,0.0,moving_away
